Food_Code;Display_Name;Portion_Default;Portion_Amount;Portion_Display_Name;Factor;Increment;Multiplier;Grains;Whole_Grains;Vegetables;Orange_Vegetables;Darkgreen_Vegetables;Starchy_Vegetables;Other_Vegetables;Fruits;Milk;Meats;Soy;Drybeans_Peas;Oils;Solid_Fats;Added_Sugars;Alcohol;Calories;Saturated_Fats
91200000;Calorie-free sweetener;2;100.000;teaspoon;100.000;100.000;100.000;.14748;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00080;.00000;.00000;.00000;704.000;.00040
91301080;Chocolate sauce (thin type);1;100.000;Tablespoon;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;191.196;3.608.232;.00000;5.245.200;.09776
91301080;Chocolate sauce (thin type);2;.25000;cup;.25000;.25000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;762.750;14.394.542;.00000;20.925.000;.39000
91301250;Syrup (all types);1;100.000;Tablespoon;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00444;.00000;4.947.393;.00000;5.300.000;.00400
91301250;Syrup (all types);2;100.000;packet;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.01311;.00000;14.594.808;.00000;15.635.000;.01180
91302010;Honey;1;100.000;Tablespoon;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;6.384.000;.00000;6.384.000;.00000
91304010;Butterscotch sauce;1;100.000;Tablespoon;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00424;.00000;.00000;.00000;.00415;400.298;5.896.102;.00000;6.296.400;.39856
91304010;Butterscotch sauce;2;.25000;cup;.25000;.25000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.01700;.00000;.00000;.00000;.01662;1.604.970;23.640.000;.00000;25.245.000;159.800
91304020;Fudge sauce (thick type);1;100.000;Tablespoon;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.05229;.00000;.00000;.00000;.33325;323.190;4.141.405;.00000;7.266.000;118.440
91304020;Fudge sauce (thick type);2;.25000;cup;.25000;.25000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.21165;.00000;.00000;.00000;134.886;1.308.150;16.762.831;.00000;29.410.000;479.400
91304030;Fruit topping;1;100.000;Tablespoon;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.03307;.00000;.00000;.00000;.00000;.00226;.00000;5.102.956;.00000;5.384.800;.00212
91304030;Fruit topping;2;.25000;cup;.25000;.25000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.13260;.00000;.00000;.00000;.00000;.00907;.00000;20.459.966;.00000;21.590.000;.00850
91304040;Marshmallow topping;1;100.000;Tablespoon;100.000;.50000;.50000;.13293;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;1.123.941;.00000;1.996.400;.00372
91304040;Marshmallow topping;2;.25000;cup;.25000;.25000;100.000;.53064;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;4.486.701;.00000;7.969.500;.01485
